,Date,Close,Adj Date,Predicted Close,Error
974,2019-10-01,47.740002000000004,2019-09-24,49.933598,2.1935955646972616
975,2019-10-02,46.560001,2019-09-25,49.88922,3.3292201914062503
976,2019-10-03,47.060001,2019-09-26,49.707676,2.647674933837891
977,2019-10-04,47.52,2019-09-27,49.39526,1.8752598571777312
978,2019-10-07,47.77,2019-09-30,49.08654,1.3165402221679656
979,2019-10-08,46.389998999999996,2019-10-01,48.806324,2.416325005126957
980,2019-10-09,46.84,2019-10-02,48.563217,1.723217163085934
981,2019-10-10,46.150002,2019-10-03,48.32134,2.1713366535644525
982,2019-10-11,46.560001,2019-10-04,48.042305,1.4823039926757815
983,2019-10-14,46.049999,2019-10-07,47.804398,1.7543985830078128
984,2019-10-15,46.360001000000004,2019-10-08,47.596405,1.236404029296871
985,2019-10-16,46.790001000000004,2019-10-09,47.403053,0.6130522836914025
986,2019-10-17,47.029999,2019-10-10,47.2417,0.21170021875000344
987,2019-10-18,46.709998999999996,2019-10-11,47.163963,0.4539643178710975
988,2019-10-21,47.389998999999996,2019-10-14,47.13884,-0.2511592783203085
989,2019-10-22,47.549999,2019-10-15,47.154655,-0.39534354345703093
990,2019-10-23,47.049999,2019-10-16,47.221558,0.17155861718750032
991,2019-10-24,46.41,2019-10-17,47.31468,0.9046781921386753
992,2019-10-25,46.900002,2019-10-18,47.40436,0.504359724853515
993,2019-10-28,47.169998,2019-10-21,47.441963,0.2719651958007816
994,2019-10-29,47.240002000000004,2019-10-22,47.488297,0.24829450878905845
995,2019-10-30,47.560001,2019-10-23,47.522675,-0.03732643945312475
996,2019-10-31,47.509997999999996,2019-10-24,47.56815,0.05815156665039467
997,2019-11-01,47.029999,2019-10-25,47.636097,0.6060979543457066
998,2019-11-04,47.48,2019-10-28,47.662167,0.1821665954589875
999,2019-11-05,47.759997999999996,2019-10-29,47.70793,-0.052066481445308455
1000,2019-11-06,48.27,2019-10-30,47.76493,-0.5050692749023469
1001,2019-11-07,48.419998,2019-10-31,47.840164,-0.5798338154296871
1002,2019-11-08,48.830002,2019-11-01,47.975666,-0.8543359538574222
1003,2019-11-11,48.099998,2019-11-04,48.12437,0.02437257495117251
1004,2019-11-12,48.369999,2019-11-05,48.246483,-0.12351615087890622
1005,2019-11-13,48.459998999999996,2019-11-06,48.365395,-0.09460440771484002
1006,2019-11-14,44.91,2019-11-07,48.468773,3.558772888183597
1007,2019-11-15,45.09,2019-11-08,48.372864,3.2828637695312466
1008,2019-11-18,45.150002,2019-11-11,48.13799,2.9879870441894525
1009,2019-11-19,45.470001,2019-11-12,47.821632,2.351631385253903
1010,2019-11-20,45.080002,2019-11-13,47.497406,2.4174040058593746
1011,2019-11-21,44.84,2019-11-14,47.204227,2.364227447509762
1012,2019-11-22,44.849998,2019-11-15,46.911106,2.0611081096191413
1013,2019-11-25,45.450001,2019-11-18,46.641846,1.1918447031249997
1014,2019-11-26,45.310001,2019-11-19,46.39557,1.0855678476562503
1015,2019-11-27,45.240002000000004,2019-11-20,46.21574,0.9757382038574178
1016,2019-11-29,45.310001,2019-11-22,46.077377,0.7673763193359378
1017,2019-12-02,44.700001,2019-11-25,45.969482,1.2694814218749997
1018,2019-12-03,44.279999,2019-11-26,45.89074,1.6107404409179722
1019,2019-12-04,43.889998999999996,2019-11-27,45.781864,1.8918651662597696
1020,2019-12-05,43.52,2019-11-28,45.67332,2.1533207702636687
1021,2019-12-06,43.84,2019-11-29,45.540695,1.700695190429684
1022,2019-12-09,43.900002,2019-12-02,45.393063,1.4930605915527337
1023,2019-12-10,44.099998,2019-12-03,45.245438,1.1454396220703131
1024,2019-12-11,44.279999,2019-12-04,45.104313,0.8243138967285191
1025,2019-12-12,45.669998,2019-12-05,45.008953,-0.6610449055175778
1026,2019-12-13,45.299999,2019-12-06,44.959213,-0.3407857431640622
1027,2019-12-16,45.98,2019-12-09,45.028263,-0.9517369079589812
1028,2019-12-17,46.439999,2019-12-10,45.159466,-1.2805332102050784
1029,2019-12-18,46.639998999999996,2019-12-11,45.353436,-1.2865634836425741
1030,2019-12-19,47.880001,2019-12-12,45.59551,-2.284492424560547
1031,2019-12-20,47.450001,2019-12-13,45.888126,-1.5618746267089847
1032,2019-12-23,48.099998,2019-12-16,46.250618,-1.8493800190429681
1033,2019-12-24,47.779999,2019-12-17,46.607777,-1.1722223581542934
1034,2019-12-26,47.849998,2019-12-19,46.979794,-0.870204451416015
1035,2019-12-27,47.77,2019-12-20,47.31306,-0.45693923950195625
1036,2019-12-30,47.59,2019-12-23,47.61635,0.02634826660155909
1037,2019-12-31,47.959998999999996,2019-12-24,47.862343,-0.09765616552734002
1038,2020-01-02,48.419998,2019-12-26,48.04151,-0.3784864643554684
1039,2020-01-03,47.630001,2019-12-27,48.20096,0.570957251953125
1040,2020-01-06,47.799999,2019-12-30,48.322098,0.5220987783203128
1041,2020-01-07,47.490002000000004,2019-12-31,48.35803,0.8680264118652303
1042,2020-01-08,47.52,2020-01-01,48.379448,0.8594479370117156
1043,2020-01-09,47.32,2020-01-02,48.333347,1.0133473205566403
1044,2020-01-10,47.130001,2020-01-03,48.30596,1.1759606088867187
1045,2020-01-13,47.970001,2020-01-06,48.26477,0.29476950781249656
1046,2020-01-14,47.790001000000004,2020-01-07,48.207733,0.41773215429687127
