,Date,Close,Adj_Date,Predicted_Close
960,2019-10-01,111.220001,2019-09-24,113.3847
961,2019-10-02,110.389999,2019-09-25,113.232346
962,2019-10-03,112.910004,2019-09-26,113.076416
963,2019-10-04,114.07,2019-09-27,112.80942
964,2019-10-07,114.25,2019-09-30,112.79193
965,2019-10-08,109.58000200000001,2019-10-01,113.044846
966,2019-10-09,110.870003,2019-10-02,113.295105
967,2019-10-10,112.650002,2019-10-03,113.267204
968,2019-10-11,112.720001,2019-10-04,113.17925
969,2019-10-14,112.879997,2019-10-07,113.382
970,2019-10-15,116.290001,2019-10-08,113.64948
971,2019-10-16,113.739998,2019-10-09,113.96604
972,2019-10-17,114.900002,2019-10-10,114.505356
973,2019-10-18,113.82,2019-10-11,115.099594
974,2019-10-21,116.559998,2019-10-14,115.53365
975,2019-10-22,108.379997,2019-10-15,115.80849
976,2019-10-23,112.43,2019-10-16,116.45018
977,2019-10-24,120.230003,2019-10-17,116.22268
978,2019-10-25,120.900002,2019-10-18,116.203896
979,2019-10-28,121.339996,2019-10-21,116.71233
980,2019-10-29,121.0,2019-10-22,117.5571
981,2019-10-30,122.639999,2019-10-23,118.39331
982,2019-10-31,122.059998,2019-10-24,119.15455
983,2019-11-01,119.620003,2019-10-25,120.05349
984,2019-11-04,121.93,2019-10-28,120.95578
985,2019-11-05,122.150002,2019-10-29,121.58813
986,2019-11-06,120.970001,2019-10-30,122.24487
987,2019-11-07,123.629997,2019-10-31,122.822754
988,2019-11-08,120.43,2019-11-01,123.12282
989,2019-11-11,120.93,2019-11-04,123.473526
990,2019-11-12,119.68,2019-11-05,123.42556
991,2019-11-13,122.440002,2019-11-06,123.39278
992,2019-11-14,121.489998,2019-11-07,123.21124
993,2019-11-15,121.470001,2019-11-08,123.23046
994,2019-11-18,122.089996,2019-11-11,123.35297
995,2019-11-19,121.970001,2019-11-12,123.45374
996,2019-11-20,118.690002,2019-11-13,123.56069
997,2019-11-21,118.260002,2019-11-14,123.61891
998,2019-11-22,119.139999,2019-11-15,123.33886
999,2019-11-25,122.720001,2019-11-18,122.958496
1000,2019-11-26,124.400002,2019-11-19,122.74432
1001,2019-11-27,124.260002,2019-11-20,122.81993
1002,2019-11-29,121.08000200000001,2019-11-22,123.10066
1003,2019-12-02,122.25,2019-11-25,123.38762
1004,2019-12-03,120.010002,2019-11-26,123.50991
1005,2019-12-04,119.849998,2019-11-27,123.52316
1006,2019-12-05,122.029999,2019-11-28,123.46918
1007,2019-12-06,120.790001,2019-11-29,123.34472
1008,2019-12-09,120.940002,2019-12-02,123.266945
1009,2019-12-10,120.41999799999999,2019-12-03,123.22134
1010,2019-12-11,121.730003,2019-12-04,123.231255
