,Date,Close,Adj_Date,Predicted_Close
974,2019-10-01,111.220001,2019-09-24,109.50786
975,2019-10-02,110.389999,2019-09-25,109.347534
976,2019-10-03,112.910004,2019-09-26,109.18116
977,2019-10-04,114.07,2019-09-27,108.90264
978,2019-10-07,114.25,2019-09-30,108.88255
979,2019-10-08,109.58000200000001,2019-10-01,109.13734
980,2019-10-09,110.870003,2019-10-02,109.38564
981,2019-10-10,112.650002,2019-10-03,109.347374
982,2019-10-11,112.720001,2019-10-04,109.25052
983,2019-10-14,112.879997,2019-10-07,109.45262
984,2019-10-15,116.290001,2019-10-08,109.71804
985,2019-10-16,113.739998,2019-10-09,110.0322
986,2019-10-17,114.900002,2019-10-10,110.57188
987,2019-10-18,113.82,2019-10-11,111.161995
988,2019-10-21,116.559998,2019-10-14,111.58361
989,2019-10-22,108.379997,2019-10-15,111.841415
990,2019-10-23,112.43,2019-10-16,112.47594
991,2019-10-24,120.230003,2019-10-17,112.24648
992,2019-10-25,120.900002,2019-10-18,112.22178
993,2019-10-28,121.339996,2019-10-21,112.72827
994,2019-10-29,121.0,2019-10-22,113.56925
995,2019-10-30,122.639999,2019-10-23,114.39174
996,2019-10-31,122.059998,2019-10-24,115.13145
997,2019-11-01,119.620003,2019-10-25,116.00876
998,2019-11-04,121.93,2019-10-28,116.88376
999,2019-11-05,122.150002,2019-10-29,117.47878
1000,2019-11-06,120.970001,2019-10-30,118.10197
1001,2019-11-07,123.629997,2019-10-31,118.64385
1002,2019-11-08,120.43,2019-11-01,118.90304
1003,2019-11-11,120.93,2019-11-04,119.22086
1004,2019-11-12,119.68,2019-11-05,119.13196
1005,2019-11-13,122.440002,2019-11-06,119.0695
1006,2019-11-14,121.489998,2019-11-07,118.85909
1007,2019-11-15,121.470001,2019-11-08,118.86159
1008,2019-11-18,122.089996,2019-11-11,118.970436
1009,2019-11-19,121.970001,2019-11-12,119.05778
1010,2019-11-20,118.690002,2019-11-13,119.15292
1011,2019-11-21,118.260002,2019-11-14,119.1987
1012,2019-11-22,119.139999,2019-11-15,118.89985
1013,2019-11-25,122.720001,2019-11-18,118.506325
1014,2019-11-26,124.400002,2019-11-19,118.28781
1015,2019-11-27,124.260002,2019-11-20,118.366516
1016,2019-11-29,121.08000200000001,2019-11-22,118.65221
1017,2019-12-02,122.25,2019-11-25,118.94011
1018,2019-12-03,120.010002,2019-11-26,119.05699
1019,2019-12-04,119.849998,2019-11-27,119.06311
1020,2019-12-05,122.029999,2019-11-28,119.00179
1021,2019-12-06,120.790001,2019-11-29,118.87029
1022,2019-12-09,120.940002,2019-12-02,118.78926
1023,2019-12-10,120.41999799999999,2019-12-03,118.74188
1024,2019-12-11,121.730003,2019-12-04,118.75194
1025,2019-12-12,122.33000200000001,2019-12-05,118.6516
1026,2019-12-13,123.199997,2019-12-06,118.69207
1027,2019-12-16,122.760002,2019-12-09,118.78282
1028,2019-12-17,125.059998,2019-12-10,119.13713
1029,2019-12-18,127.519997,2019-12-11,119.48317
1030,2019-12-19,122.980003,2019-12-12,119.94204
1031,2019-12-20,123.739998,2019-12-13,120.66625
1032,2019-12-23,124.959999,2019-12-16,121.0409
1033,2019-12-24,124.699997,2019-12-17,121.37709
1034,2019-12-26,125.0,2019-12-19,121.59439
1035,2019-12-27,124.0,2019-12-20,121.803406
1036,2019-12-30,123.0,2019-12-23,122.029335
1037,2019-12-31,121.25,2019-12-24,122.08055
1038,2020-01-02,127.25,2019-12-26,121.902916
1039,2020-01-03,126.160004,2019-12-27,121.81299
1040,2020-01-06,128.080002,2019-12-30,121.88446
1041,2020-01-07,129.100006,2019-12-31,122.00974
1042,2020-01-08,130.809998,2020-01-01,122.55552
1043,2020-01-09,133.639999,2020-01-02,123.22312
1044,2020-01-10,131.119995,2020-01-03,124.36348
1045,2020-01-13,134.71000700000002,2020-01-06,125.60763
1046,2020-01-14,136.83999599999999,2020-01-07,126.688034
1047,2020-01-15,138.479996,2020-01-08,127.770134
1048,2020-01-16,140.75,2020-01-09,129.05757
1049,2020-01-17,135.75,2020-01-10,130.55486
1050,2020-01-21,132.179993,2020-01-14,132.10825
1051,2020-01-22,133.16000400000001,2020-01-15,132.47403
1052,2020-01-23,129.009995,2020-01-16,132.65125
1053,2020-01-24,124.610001,2020-01-17,132.11093
1054,2020-01-27,121.949997,2020-01-20,131.38174
1055,2020-01-28,129.080002,2020-01-21,129.3156
1056,2020-01-29,129.190002,2020-01-22,127.5808
1057,2020-01-30,123.43,2020-01-23,126.784164
1058,2020-01-31,121.550003,2020-01-24,125.85318
1059,2020-02-03,127.690002,2020-01-27,124.84971
1060,2020-02-04,132.990005,2020-01-28,123.87357
1061,2020-02-05,131.559998,2020-01-29,123.88318
1062,2020-02-06,133.96000700000002,2020-01-30,124.64623
1063,2020-02-07,134.419998,2020-01-31,125.55339
1064,2020-02-10,135.190002,2020-02-03,126.46482
1065,2020-02-11,138.08999599999999,2020-02-04,127.31293
1066,2020-02-12,138.479996,2020-02-05,128.36725
1067,2020-02-13,138.850006,2020-02-06,129.66338
1068,2020-02-14,141.529999,2020-02-07,130.84663
1069,2020-02-18,138.970001,2020-02-11,132.12337
1070,2020-02-19,141.759995,2020-02-12,133.5185
1071,2020-02-20,137.66000400000001,2020-02-13,134.61609
1072,2020-02-21,137.809998,2020-02-14,135.70818
1073,2020-02-24,134.779999,2020-02-17,136.1217
1074,2020-02-25,134.470001,2020-02-18,135.7948
1075,2020-02-26,133.75,2020-02-19,135.46725
1076,2020-02-27,132.630005,2020-02-20,135.03067
1077,2020-02-28,127.889999,2020-02-21,134.29285
1078,2020-03-02,134.470001,2020-02-24,133.17596
1079,2020-03-03,134.199997,2020-02-25,132.07077
1080,2020-03-04,134.58999599999999,2020-02-26,131.56755
1081,2020-03-05,134.21000700000002,2020-02-27,131.40155
1082,2020-03-06,128.830002,2020-02-28,131.21548
1083,2020-03-09,127.120003,2020-03-02,130.8568
1084,2020-03-10,128.309998,2020-03-03,129.49332
1085,2020-03-11,126.690002,2020-03-04,128.8065
1086,2020-03-12,116.860001,2020-03-05,127.84195
1087,2020-03-13,122.08000200000001,2020-03-06,126.219864
1088,2020-03-16,114.650002,2020-03-09,124.763084
1089,2020-03-17,117.199997,2020-03-10,122.6738
1090,2020-03-18,111.07,2020-03-11,120.76394
1091,2020-03-19,110.41999799999999,2020-03-12,118.66496
1092,2020-03-20,108.720001,2020-03-13,116.56305
1093,2020-03-23,103.849998,2020-03-16,114.91117
1094,2020-03-24,117.699997,2020-03-17,113.22633
1095,2020-03-25,124.440002,2020-03-18,111.632706
1096,2020-03-26,125.199997,2020-03-19,111.2563
1097,2020-03-27,112.699997,2020-03-20,111.89403
1098,2020-03-30,109.0,2020-03-23,112.405655
1099,2020-03-31,108.239998,2020-03-24,112.26632
1100,2020-04-01,104.739998,2020-03-25,111.68234
1101,2020-04-02,107.910004,2020-03-26,110.72837
1102,2020-04-03,106.510002,2020-03-27,109.53939
1103,2020-04-06,111.0,2020-03-30,108.52903
